"Quantity","Item","URL","Unit Price ($USD)","Total Price ($USD)"
"1","Microphone","https://zaitronics.com.au/products/inmp441-i2s-mems-omnidirectional-microphone?variant=51395922100516","5.57","5.57"
"3","Neopixel (10 pack)","https://www.digikey.com.au/en/products/detail/adafruit-industries-llc/1655/5154679","4.50","13.50"
"1","Button","https://www.digikey.com.au/en/products/detail/omron-electronics-inc-emc-div/B3F-4050/95200","0.52","0.52"
"1","Board<br>","https://www.digikey.com.au/en/products/detail/seeed-technology-co-ltd/113991114/19285530","7.49","7.49"
"4","100nF Capacitor","https://www.digikey.com.au/en/products/detail/vishay-beyschlag-draloric-bc-components/K104K15X7RF5TL2/286538","0.28","1.12"
"1","330 Resistor","https://www.digikey.com.au/en/products/detail/yageo/FMP200JR-52-330R/2058682","0.19","0.19"
"1","10k Resistor","https://www.digikey.com.au/en/products/detail/yageo/FMP200JR-52-10K/2058646","0.19","0.19"
"2","5.1k Resistor","https://www.digikey.com.au/en/products/detail/yageo/RC0603FR-075K1L/727268","0.10","0.20"
"1","47uF Capacitor","https://www.digikey.com.au/en/products/detail/tdk/FK20X5R0J476MN000/2815373","0.86","0.86"
"1","100uF Capacitor","https://www.digikey.com.au/en/products/detail/murata-electronics/GRM31CD80J107MEA8L/13904781","0.44","0.44"
"1","Level Shifter","https://www.digikey.com.au/en/products/detail/texas-instruments/SN74AHCT1G125DBVR/376028","0.14","0.14"
"1","USBC","https://www.digikey.com.au/en/products/detail/amphenol-cs-fci/10155435-00011LF/11602060","0.85","0.85"
"","Case","3D print files in /CAD","(3D printing: 1.17)","(3D printing: 1.17)"
"PCB","","","","29.24"
"Shipping","","","","3.70+20+9.52=33.22"
"Total","","","","93.53"
